review_id,clean_text,metadata_json
2a910db1b42b9e9c9462,it's so nice,"{""review_id"": ""2a910db1b42b9e9c9462"", ""source"": ""play_store""}"
62ea9cced9c226cb316f,Nice product,"{""review_id"": ""62ea9cced9c226cb316f"", ""source"": ""play_store""}"
171da17fd0940da0085b,amazing app I like it so much so easy to buy products,"{""review_id"": ""171da17fd0940da0085b"", ""source"": ""play_store""}"
ae7d276295bac2777bd2,very good platform for clothes,"{""review_id"": ""ae7d276295bac2777bd2"", ""source"": ""play_store""}"
4905198e6ed1b83aea09,very good is my experience with this app nice 👍,"{""review_id"": ""4905198e6ed1b83aea09"", ""source"": ""play_store""}"
4ff1360b5b335572495c,I love This App ❤️,"{""review_id"": ""4ff1360b5b335572495c"", ""source"": ""play_store""}"
affb6d28edfcf1a935a9,"Myntra stands out as one of India's premier destinations for online fashion, beauty, and lifestyle shopping. Boasting an extensive catalog of top-tier domestic and international brands, it aims to deliver a modern, trend-focused retail experience straight to your smartphone.my best online shopping application","{""review_id"": ""affb6d28edfcf1a935a9"", ""source"": ""play_store""}"
678f088d038cda3f559f,I'm very happy 😊,"{""review_id"": ""678f088d038cda3f559f"", ""source"": ""play_store""}"
e089065932a33b65b874,myntra is getting worse day by daay ...one of my exchange has not been done since last 45-50 days...not expected this from such a renowned brand . horrible...never going to shop again from myntra,"{""review_id"": ""e089065932a33b65b874"", ""source"": ""play_store""}"
f850435f095a33c0804e,attractive app design,"{""review_id"": ""f850435f095a33c0804e"", ""source"": ""play_store""}"
fc87f5ca817539a2502c,Very nice App,"{""review_id"": ""fc87f5ca817539a2502c"", ""source"": ""play_store""}"
65563fed0e30e7e19b43,"best platform for purchasing beauty, skincare, fashion products","{""review_id"": ""65563fed0e30e7e19b43"", ""source"": ""play_store""}"
211d39e995a0ab6e38f6,good application,"{""review_id"": ""211d39e995a0ab6e38f6"", ""source"": ""play_store""}"
6944094c918c0b5a70c4,"Easy shopping and returns, amazing products and variety","{""review_id"": ""6944094c918c0b5a70c4"", ""source"": ""play_store""}"
badc8352300598fd2123,Best app for shopping,"{""review_id"": ""badc8352300598fd2123"", ""source"": ""play_store""}"
8625d9f1d77193417a09,best apppp,"{""review_id"": ""8625d9f1d77193417a09"", ""source"": ""play_store""}"
ac2da18cda033d89f9e0,GENUINE PRODUCT AND GOOD QUALITIES,"{""review_id"": ""ac2da18cda033d89f9e0"", ""source"": ""play_store""}"
a470b1416107a6e77f90,Best Quality Product in this app 🤩👍,"{""review_id"": ""a470b1416107a6e77f90"", ""source"": ""play_store""}"
d58b6feec00e316caeda,Worst Platform,"{""review_id"": ""d58b6feec00e316caeda"", ""source"": ""play_store""}"
dd21e590cabd85d7dd54,I got branded clothes at affordable price Thank u Myntra....,"{""review_id"": ""dd21e590cabd85d7dd54"", ""source"": ""play_store""}"
bd9137f459102a3cf70e,good shoping app,"{""review_id"": ""bd9137f459102a3cf70e"", ""source"": ""play_store""}"
34ae980dfbf052988f62,very good app,"{""review_id"": ""34ae980dfbf052988f62"", ""source"": ""play_store""}"
cdfcd66887f49c8edc68,loved the aapp,"{""review_id"": ""cdfcd66887f49c8edc68"", ""source"": ""play_store""}"
53558ae60a7d4231753b,i love this application delivery fast no fake product,"{""review_id"": ""53558ae60a7d4231753b"", ""source"": ""play_store""}"
f8e86efb01439043bda3,good quality,"{""review_id"": ""f8e86efb01439043bda3"", ""source"": ""play_store""}"
2ff83df7fc5000ed8adf,excellent app my myntra app,"{""review_id"": ""2ff83df7fc5000ed8adf"", ""source"": ""play_store""}"
4a7453ac3d78d187699a,very good experience on this platform,"{""review_id"": ""4a7453ac3d78d187699a"", ""source"": ""play_store""}"
d53303d04425187b4f45,The next day delivery is mind blowing actually it's makes everything easier and faster and better very much happy with this app... Everyone should download and experience its great service's and products are good obvious thing and with great packaging thanks to this app,"{""review_id"": ""d53303d04425187b4f45"", ""source"": ""play_store""}"
e38a554f8d8dca22394f,"best shopping site, and always provide genuine products","{""review_id"": ""e38a554f8d8dca22394f"", ""source"": ""play_store""}"
bdfc9350521d4846fd58,"I love using Myntra because the items are delivered very fast and safe, and it has a fantastic collection of brands. The app interface is smooth and makes it really easy to find exactly what I am looking for. I also appreciate the Myntra Insider loyalty program which rewards frequent shoppers. The return and exchange policy is usually hassle-free, making it a highly reliable shopping platform.","{""review_id"": ""bdfc9350521d4846fd58"", ""source"": ""play_store""}"
c7bd9e2db1e0bed623f5,myntra is best,"{""review_id"": ""c7bd9e2db1e0bed623f5"", ""source"": ""play_store""}"
b42e6eefc375ca6596a7,most satisfying app😊,"{""review_id"": ""b42e6eefc375ca6596a7"", ""source"": ""play_store""}"
99fd1fd3bcecf53851ee,Myntra is a Genuine Platform to purchase anything. Good,"{""review_id"": ""99fd1fd3bcecf53851ee"", ""source"": ""play_store""}"
997f410b141d46296b15,just a wow product,"{""review_id"": ""997f410b141d46296b15"", ""source"": ""play_store""}"
6b103151fb92e1e2fc8f,good service,"{""review_id"": ""6b103151fb92e1e2fc8f"", ""source"": ""play_store""}"
